iter	Poisson
0	0.9861475265
1	0.9742581082
2	0.9616754862
3	0.9515075075
4	0.9412771537
5	0.9315898166
6	0.922733167
7	0.9141228941
8	0.9058709546
9	0.8980385992
10	0.891256744
11	0.8852058052
12	0.8800634594
13	0.8743947327
14	0.870291825
15	0.8657319143
16	0.8612084401
17	0.8572397425
18	0.8536405557
19	0.8502054653
20	0.8469373962
21	0.8439347339
22	0.8416343532
23	0.8391521675
24	0.8373765529
25	0.8351566598
26	0.8328000396
27	0.8305708863
28	0.8290628827
29	0.8274550024
30	0.8258477998
31	0.8240261608
32	0.8227913845
33	0.821382445
34	0.8200329673
35	0.8189561196
36	0.8173787104
37	0.8162378561
38	0.8153340009
39	0.8145249433
40	0.8138104185
41	0.8128200685
42	0.81196273
43	0.8113652908
44	0.8106242727
45	0.810077542
46	0.8094840868
47	0.8086359751
48	0.8080824704
49	0.8073762316
50	0.8067569488
51	0.8062181795
52	0.805662023
53	0.805144644
54	0.8047694346
55	0.8042577666
56	0.803679819
57	0.8033076382
58	0.8029716221
59	0.8025666506
60	0.8022092001
61	0.8020147617
62	0.8017966133
63	0.8012308237
64	0.8007090202
65	0.8001887307
66	0.7998645859
67	0.7994461536
68	0.7991619736
69	0.7987833206
70	0.7985817756
71	0.7983145112
72	0.7979048692
73	0.797531087
74	0.7973112052
75	0.7968777998
76	0.7966730773
77	0.7965716144
78	0.7961906015
79	0.795903116
80	0.7956436228
81	0.7953708625
82	0.7950096554
83	0.794679234
84	0.7944095627
85	0.7941869894
86	0.7940348937
87	0.7938086333
88	0.7935753761
89	0.7932633314
90	0.793054019
91	0.7928651742
92	0.7927557554
93	0.7923490049
94	0.7922345743
95	0.7920505207
96	0.7919384414
97	0.7918460638
98	0.7915133708
99	0.7913157794
100	0.79115155
101	0.791024689
102	0.7906135036
103	0.790435424
104	0.7903234802
105	0.790167016
106	0.7898848203
107	0.7896257213
108	0.789470769
109	0.7893995078
110	0.7892437939
111	0.7890484638
112	0.7888830902
113	0.7888397787
114	0.788752263
115	0.7886226348
116	0.7883390453
117	0.7881716598
118	0.7878284518
119	0.7877424626
120	0.787607199
121	0.7873680684
122	0.7872137566
123	0.7870570246
124	0.7869739747
125	0.7869268691
126	0.7868101567
127	0.7867274758
128	0.7864756737
129	0.7863456004
130	0.7862480779
131	0.7860363018
132	0.7858361836
133	0.7856610105
134	0.7854957523
135	0.7854152902
136	0.7851714533
137	0.785081649
138	0.7849252296
139	0.7848730863
140	0.7846658354
141	0.7845242533
142	0.7844202342
143	0.7842159431
144	0.7839860344
145	0.7839136748
146	0.7838579683
147	0.7837013067
148	0.7834880343
149	0.7833925481
150	0.7832068371
151	0.7831031426
152	0.7828825813
153	0.7827838771
154	0.7825804499
155	0.7824577343
156	0.7822826085
157	0.7822121474
158	0.7820820039
159	0.7820516871
160	0.781915232
161	0.7817356672
162	0.7814921702
163	0.7813815629
164	0.7811402341
165	0.7810237013
166	0.7808565105
167	0.7807325686
168	0.7805851972
169	0.7804293675
170	0.7803151593
171	0.7802116003
172	0.7799875434
173	0.7798356804
174	0.7797181922
175	0.7796074844
176	0.779501795
177	0.7794189642
178	0.7792659549
179	0.7791221005
180	0.7789647052
181	0.7789479408
182	0.7789477749
183	0.7788477938
184	0.7787791447
185	0.7786683007
186	0.7785291177
187	0.7783843546
188	0.7783031827
189	0.7782094114
190	0.7778976459
191	0.7777920331
192	0.7776789657
193	0.7774818354
194	0.7774127808
195	0.777291694
196	0.7771291565
197	0.7769687762
198	0.7768276381
199	0.7767845951
200	0.7765950098
201	0.776504264
202	0.7763370399
203	0.7762987038
204	0.7761075134
205	0.7758602887
206	0.7757701876
207	0.7756473991
208	0.7754243186
209	0.7753566507
210	0.7752927865
211	0.7750864237
212	0.7749739557
213	0.7748272685
214	0.7747229541
215	0.7746775377
216	0.7746028181
217	0.7744413162
218	0.7743771364
219	0.7743251087
220	0.7741153544
221	0.7739205637
222	0.7736906344
223	0.7735268605
224	0.7733239014
225	0.7731422248
226	0.7731023369
227	0.7729886182
228	0.7728821677
229	0.7727499629
230	0.7726467337
231	0.7724671481
232	0.7723795687
233	0.7723220542
234	0.7721964928
235	0.7720639855
236	0.7719494167
237	0.7718765193
238	0.7717180381
239	0.7715567448
240	0.7713938749
241	0.7711006639
242	0.7710680415
243	0.7709876142
244	0.770880134
245	0.770833841
246	0.7706634437
247	0.7704822226
248	0.7703601391
249	0.7703100164
250	0.7700019667
251	0.7697799408
252	0.7696953822
253	0.7695057804
254	0.7694089843
255	0.7693803934
256	0.7691428342
257	0.7689579874
258	0.768842414
259	0.7687440365
260	0.7687304903
261	0.7684763449
262	0.7682840932
263	0.7682033858
264	0.7679985671
265	0.7678846411
266	0.7676420602
267	0.7675759903
268	0.7674716255
269	0.767363623
270	0.7672388122
271	0.7671973971
272	0.7670348244
273	0.7669900686
274	0.7668881438
275	0.7668427724
276	0.7668004139
277	0.7667244361
278	0.7666936099
279	0.7665686905
280	0.7664191741
281	0.7663183233
282	0.7661771098
283	0.7660149029
284	0.7658585224
285	0.7657105556
286	0.765565046
287	0.7655097569
288	0.7654454499
289	0.7653574593
290	0.7651408473
291	0.7649830735
292	0.7647539707
293	0.7645048773
294	0.7643344273
295	0.7642485025
296	0.764124716
297	0.7638861329
298	0.7637387931
299	0.7636311101
