iter	Passed	Remaining
0	13	4049
1	26	3970
2	42	4225
3	58	4307
4	74	4369
5	88	4322
6	104	4389
7	121	4416
8	138	4462
9	154	4492
10	170	4488
11	187	4488
12	202	4477
13	218	4461
14	234	4459
15	250	4452
16	267	4450
17	287	4499
18	303	4481
19	322	4517
20	340	4525
21	355	4498
22	371	4472
23	386	4448
24	402	4432
25	418	4415
26	434	4394
27	451	4382
28	468	4373
29	483	4355
30	499	4335
31	515	4321
32	535	4329
33	550	4309
34	566	4285
35	581	4263
36	597	4245
37	613	4227
38	629	4210
39	644	4190
40	662	4185
41	678	4169
42	695	4155
43	711	4137
44	728	4126
45	752	4156
46	771	4154
47	788	4139
48	804	4122
49	820	4103
50	836	4084
51	852	4065
52	868	4048
53	884	4031
54	900	4013
55	916	3995
56	933	3980
57	949	3960
58	965	3945
59	981	3927
60	996	3906
61	1012	3887
62	1028	3868
63	1044	3852
64	1061	3836
65	1076	3817
66	1092	3799
67	1107	3779
68	1123	3759
69	1139	3743
70	1156	3730
71	1172	3713
72	1188	3694
73	1205	3680
74	1220	3661
75	1236	3644
76	1251	3623
77	1266	3604
78	1281	3585
79	1297	3568
80	1312	3549
81	1329	3533
82	1345	3517
83	1360	3499
84	1377	3483
85	1392	3465
86	1408	3449
87	1425	3434
88	1442	3419
89	1458	3403
90	1474	3385
91	1490	3370
92	1506	3353
93	1522	3336
94	1538	3320
95	1554	3303
96	1570	3286
97	1585	3268
98	1601	3252
99	1617	3235
100	1633	3219
101	1649	3201
102	1664	3183
103	1680	3167
104	1696	3150
105	1711	3132
106	1727	3115
107	1744	3100
108	1760	3085
109	1776	3068
110	1792	3052
111	1808	3036
112	1824	3018
113	1839	3001
114	1855	2984
115	1871	2968
116	1887	2952
117	1905	2939
118	1921	2922
119	1937	2906
120	1953	2889
121	1969	2872
122	1984	2856
123	2001	2840
124	2017	2823
125	2033	2807
126	2049	2791
127	2065	2775
128	2081	2758
129	2097	2742
130	2113	2727
131	2129	2710
132	2146	2694
133	2163	2679
134	2180	2665
135	2196	2648
136	2211	2631
137	2227	2614
138	2243	2598
139	2260	2583
140	2277	2568
141	2293	2551
142	2309	2535
143	2325	2519
144	2341	2502
145	2356	2485
146	2373	2469
147	2389	2453
148	2406	2438
149	2423	2423
150	2440	2408
151	2456	2392
152	2472	2375
153	2487	2358
154	2505	2344
155	2522	2328
156	2539	2312
157	2555	2296
158	2571	2280
159	2587	2264
160	2603	2247
161	2620	2232
162	2637	2216
163	2653	2200
164	2668	2183
165	2684	2167
166	2701	2151
167	2717	2135
168	2733	2118
169	2748	2101
170	2764	2085
171	2780	2069
172	2796	2053
173	2813	2037
174	2831	2022
175	2848	2006
176	2864	1990
177	2881	1975
178	2908	1965
179	2925	1950
180	2943	1935
181	2958	1918
182	2974	1901
183	2989	1884
184	3004	1867
185	3020	1851
186	3037	1835
187	3053	1818
188	3068	1802
189	3084	1785
190	3100	1769
191	3115	1752
192	3131	1736
193	3147	1719
194	3163	1703
195	3179	1686
196	3196	1671
197	3211	1654
198	3227	1638
199	3244	1622
200	3261	1606
201	3277	1589
202	3292	1573
203	3308	1556
204	3324	1540
205	3340	1524
206	3357	1508
207	3373	1492
208	3391	1476
209	3407	1460
210	3423	1443
211	3440	1427
212	3456	1411
213	3472	1395
214	3487	1378
215	3503	1362
216	3519	1346
217	3535	1329
218	3550	1313
219	3566	1296
220	3585	1281
221	3602	1265
222	3618	1249
223	3634	1233
224	3650	1216
225	3666	1200
226	3682	1184
227	3698	1167
228	3715	1152
229	3732	1136
230	3748	1119
231	3764	1103
232	3780	1087
233	3795	1070
234	3812	1054
235	3829	1038
236	3845	1022
237	3861	1005
238	3879	990
239	3895	973
240	3911	957
241	3926	941
242	3942	924
243	3958	908
244	3975	892
245	3991	876
246	4008	860
247	4024	843
248	4039	827
249	4055	811
250	4072	795
251	4090	779
252	4106	762
253	4122	746
254	4138	730
255	4153	713
256	4170	697
257	4185	681
258	4200	664
259	4216	648
260	4233	632
261	4248	616
262	4263	599
263	4279	583
264	4294	567
265	4310	551
266	4327	534
267	4344	518
268	4362	502
269	4380	486
270	4401	470
271	4418	454
272	4433	438
273	4449	422
274	4463	405
275	4478	389
276	4495	373
277	4511	356
278	4534	341
279	4552	325
280	4568	308
281	4583	292
282	4598	276
283	4613	259
284	4629	243
285	4645	227
286	4661	211
287	4678	194
288	4693	178
289	4708	162
290	4724	146
291	4741	129
292	4757	113
293	4773	97
294	4789	81
295	4805	64
296	4821	48
297	4837	32
298	4854	16
299	4872	0
