Local,Visitante,Goles Local,Goles Visitante
Mexico,South Africa,2,0
South Korea,Czechia,2,1
Czechia,South Africa,1,1
Mexico,South Korea,1,0
Czechia,Mexico,0,3
South Africa,South Korea,1,0
Canada,Bosnia,1,1
Qatar,Switzerland,1,1
Switzerland,Bosnia,4,1
Canada,Qatar,6,0
Switzerland,Canada,2,1
Bosnia,Qatar,3,1
Brazil,Morocco,1,1
Haiti,Scotland,0,1
Scotland,Morocco,0,1
Brazil,Haiti,3,0
Scotland,Brazil,0,3
Morocco,Haiti,4,2
USA,Paraguay,4,1
Australia,Turkiye,2,0
USA,Australia,2,0
Turkiye,Paraguay,0,1
Turkiye,USA,3,2
Paraguay,Australia,0,0
Germany,Curaçao,7,1
Ivory Coast,Ecuador,1,0
Germany,Ivory Coast,2,1
Ecuador,Curaçao,0,0
Ecuador,Germany,2,1
Curaçao,Ivory Coast,0,2
Netherlands,Japan,2,2
Sweden,Tunisia,5,1
Netherlands,Sweden,5,1
Tunisia,Japan,0,4
Tunisia,Netherlands,1,3
Japan,Sweden,1,1
Belgium,Egypt,1,1
Iran,New Zealand,2,2
Belgium,Iran,0,0
New Zealand,Egypt,1,3
New Zealand,Belgium,0,1
Egypt,Iran,1,1
Spain,Cape Verde,0,0
Saudi Arabia,Uruguay,1,1
Spain,Saudi Arabia,4,0
Uruguay,Cape Verde,2,2
Uruguay,Spain,0,1
Cape Verde,Saudi Arabia,0,0
France,Senegal,3,1
Iraq,Norway,1,4
France,Iraq,3,0
Norway,Senegal,3,2
Norway,France,1,4
Senegal,Iraq,5,0
Argentina,Algeria,3,0
Austria,Jordan,3,1
Argentina,Austria,2,0
Jordan,Algeria,1,2
Jordan,Argentina,1,2
Algeria,Austria,2,2
Portugal,DR Congo,1,1
Uzbekistan,Colombia,1,3
Portugal,Uzbekistan,5,0
Colombia,DR Congo,1,0
Colombia,Portugal,0,0
DR Congo,Uzbekistan,3,1
England,Croatia,4,2
Ghana,Panama,1,0
England,Ghana,0,0
Panama,Croatia,0,1
Panama,England,0,2
Croatia,Ghana,2,1
South Africa,Canada,,
Brazil,Japan,,
Germany,Paraguay,,
Netherlands,Morocco,,
Ivory Coast,Norway,,
France,Sweden,,
Mexico,Ecuador,,
England,DR Congo,,
Belgium,Senegal,,
USA,Bosnia,,
Portugal,Croatia,,
Australia,Egypt,,
Argentina,Cape Verde,,
Colombia,Ghana,,
Spain,Austria,,
Switzerland,Algeria,,
