team,squad_size,avg_age,market_value_str,market_value_num
France,0,0.0,€1.52bn,1520000000.0
England,0,0.0,€1.36bn,1360000000.0
Spain,0,0.0,€1.22bn,1220000000.0
Portugal,0,0.0,€1.01bn,1010000000.0
Germany,0,0.0,€947.00m,947000000.0
Brazil,0,0.0,€928.20m,928200000.0
Argentina,0,0.0,€807.50m,807500000.0
Netherlands,0,0.0,€754.20m,754200000.0
Norway,0,0.0,€589.90m,589900000.0
Belgium,0,0.0,€547.50m,547500000.0
Ivory Coast,0,0.0,€522.10m,522100000.0
Senegal,0,0.0,€478.10m,478100000.0
Turkiye,0,0.0,€473.70m,473700000.0
Morocco,0,0.0,€447.70m,447700000.0
Sweden,0,0.0,€406.08m,406080000.0
Croatia,0,0.0,€387.30m,387300000.0
United States,0,0.0,€385.65m,385650000.0
Ecuador,0,0.0,€368.70m,368700000.0
Denmark,0,0.0,€365.00m,365000000.0
Uruguay,0,0.0,€359.30m,359300000.0
Switzerland,0,0.0,€332.50m,332500000.0
Italy,0,0.0,€319.00m,319000000.0
Colombia,0,0.0,€302.35m,302350000.0
Greece,0,0.0,€275.60m,275600000.0
Japan,0,0.0,€270.85m,270850000.0
Georgia,0,0.0,€261.60m,261600000.00000003
Algeria,0,0.0,€256.90m,256899999.99999997
Ukraine,0,0.0,€247.00m,247000000.0
Austria,0,0.0,€245.20m,245200000.0
Russia,0,0.0,€242.70m,242700000.0
Ghana,0,0.0,€234.35m,234350000.0
Poland,0,0.0,€232.10m,232100000.0
Serbia,0,0.0,€209.50m,209500000.0
Hungary,0,0.0,€209.20m,209200000.0
Cameroon,0,0.0,€198.70m,198700000.0
Canada,0,0.0,€198.65m,198650000.0
Mexico,0,0.0,€191.85m,191850000.0
Czechia,0,0.0,€188.18m,188180000.0
Wales,0,0.0,€180.65m,180650000.0
Nigeria,0,0.0,€172.05m,172050000.0
Scotland,0,0.0,€170.25m,170250000.0
Paraguay,0,0.0,€153.65m,153650000.0
Kosovo,0,0.0,€147.45m,147450000.0
Republic of Ireland,0,0.0,€146.85m,146850000.0
Bosnia-Herzegovina,0,0.0,€146.40m,146400000.0
Democratic Republic of the Congo,0,0.0,€143.90m,143900000.0
South Korea,0,0.0,€139.05m,139050000.0
Mali,0,0.0,€116.55m,116550000.0
Egypt,0,0.0,€116.48m,116480000.0
Burkina Faso,0,0.0,€110.60m,110600000.0
Slovenia,0,0.0,€100.50m,100500000.0
Iceland,0,0.0,€89.10m,89100000.0
Albania,0,0.0,€88.80m,88800000.0
Uzbekistan,0,0.0,€85.13m,85130000.0
Northern Ireland,0,0.0,€79.90m,79900000.0
Venezuela,0,0.0,€79.00m,79000000.0
The Gambia,0,0.0,€78.73m,78730000.0
Australia,0,0.0,€77.45m,77450000.0
Guinea,0,0.0,€73.00m,73000000.0
Tunisia,0,0.0,€69.95m,69950000.0
Montenegro,0,0.0,€69.43m,69430000.0
Israel,0,0.0,€68.10m,68100000.0
Chile,0,0.0,€66.80m,66800000.0
Slovakia,0,0.0,€59.85m,59850000.0
Romania,0,0.0,€56.95m,56950000.0
Haiti,0,0.0,€55.90m,55900000.0
Cape Verde,0,0.0,€54.50m,54500000.0
South Africa,0,0.0,€49.25m,49250000.0
Angola,0,0.0,€46.53m,46530000.0
Armenia,0,0.0,€42.23m,42230000.0
Finland,0,0.0,€42.10m,42100000.0
Saudi Arabia,0,0.0,€40.68m,40680000.0
Guinea-Bissau,0,0.0,€39.50m,39500000.0
Suriname,0,0.0,€35.93m,35930000.0
Gabon,0,0.0,€35.53m,35530000.0
Panama,0,0.0,€34.55m,34550000.0
North Macedonia,0,0.0,€34.45m,34450000.0
New Zealand,0,0.0,€34.30m,34300000.0
Iran,0,0.0,€32.05m,32049999.999999996
Peru,0,0.0,€30.63m,30630000.0
Bulgaria,0,0.0,€30.05m,30050000.0
United Arab Emirates,0,0.0,€29.05m,29050000.0
Costa Rica,0,0.0,€28.20m,28200000.0
Togo,0,0.0,€27.65m,27650000.0
Curaçao,0,0.0,€25.78m,25780000.0
Zimbabwe,0,0.0,€25.33m,25330000.0
Mauritania,0,0.0,€25.30m,25300000.0
Azerbaijan,0,0.0,€21.68m,21680000.0
Honduras,0,0.0,€21.43m,21430000.0
Iraq,0,0.0,€21.20m,21200000.0
Jordan,0,0.0,€20.30m,20300000.0
Comoros,0,0.0,€20.00m,20000000.0
Qatar,0,0.0,€19.93m,19930000.0
Cyprus,0,0.0,€19.90m,19900000.0
Kazakhstan,0,0.0,€19.55m,19550000.0
Indonesia,0,0.0,€19.55m,19550000.0
Benin,0,0.0,€18.28m,18280000.0
Bolivia,0,0.0,€17.85m,17850000.0
Lithuania,0,0.0,€16.18m,16180000.0
Belarus,0,0.0,€15.38m,15380000.0
